english;russian
a-line;форму А-силует
abstract;пропуск
abstract chevron;пропуск
abstract chevron print;пропуск
abstract diamond;пропуск
abstract floral;пропуск
abstract floral print;пропуск
abstract geo;пропуск
abstract geo print;пропуск
abstract paisley;пропуск
abstract pattern;пропуск
abstract print;абстрактный принт
abstract printed;абстрактный принт
abstract stripe;пропуск
acid;пропуск
acid wash;выцветшие пятна
americana;стиль американа
angeles;текст лос анджелес
animal;животный принт
animal print;пропуск
ankle;длину до шиколотки
applique;аппликацию
arrow;принт в форме стрелы
art;art стиль
asymmetric;ассиметричную форму
asymmetrical;ассиметричную форму
asymmetrical hem;пропуск
athletic;спортивный стиль
audrey;лицо Одри Хепберн
babe;стиль для молодых девушек
babydoll;стиль бейбидол
back bow;пропуск
back cutout;пропуск
back knit;пропуск
back lace;пропуск
back striped;пропуск
backless;открытую спину
baja;мексиканские полосы баджа
bandage;облегающую форму
bandana;бандитский принт
bandana print;пропуск
barbie;барби стиль
baroque;стиль барокко
baroque print;пропуск
baseball;баскетбольный стиль
basic;базовый (без узоров) стиль
basquiat;уличный стиль Баския (карикатуры)
batwing;форму рукава крыло летучей мыши (очень свободную и широкую)
beach;пляжный стиль
bead;вышивку биссером
beaded;вышивку биссером
beaded chiffon;пропуск
beaded collar;пропуск
beaded sheer;пропуск
beaded shift;пропуск
beatles;текст группы Битлс
bed;текст со словом кровать
bejeweled;украшения из драгоценных камней бисера страз и т. д.
bell;форму колокола
bell-sleeve;рукава в форме колокола
bella;текст со словом белла
belted;ремень или приталенную форму
belted chiffon;пропуск
belted floral;пропуск
belted floral print;пропуск
belted lace;пропуск
belted maxi;пропуск
belted plaid;пропуск
bermuda;форму бермуда
bib;нагрудник
big;большую форму
bike;принт с велосипедом или являются велосипедками
biker;байкерский стиль
bird;принт с птицами
bird print;пропуск
blah;текст blah-blah-blah
bleach;обесцвеченный\высветленный цвет
bleached;обесцвеченный\высветленный цвет
bleached denim;пропуск
blurred;размытый узор
boat neck;вырез воротника - лодочка
bodycon;облегающий силует
bodycon midi;пропуск
boho;бохо стиль
bold;форму для девушек с лишним весом
botanical;ботанический принт
botanical print;пропуск
bow;бант
bow-back;пропуск
bow-front;пропуск
box;трапецивидную форму
box pleat;пропуск
box-pleated;пропуск
boxy;свободный крой
boxy crop;пропуск
boxy knit;пропуск
boxy lace;пропуск
boxy pocket;пропуск
boxy striped;пропуск
boyfriend;стиль "стащила одежду у своего парня"
braided;имеет элементы плетения
breton;бретонский стиль
breton stripe;пропуск
brocade;парчовую ткань
brooklyn;пропуск
brooklyn nets;текст с названием баскетбольного клуба бруклин нетс
brushstroke;принт с мазками краски
brushstroke print;пропуск
burnout;выгоревшую ткань
bustier;форму бюстье
butterfly;узор с бабочками
butterfly print;пропуск
button;пуговицы
button-front;пуговицы
buttoned;пуговицы
cable;плетение напоминающее веревку
cable knit;пропуск
cable-knit;плетение напоминающее веревку
caged;декоративные элементы в виде каркасов или перекрестных лент
california;текст калифорния
camera;принт с камерой
cami;стиль ками
cami crop;пропуск
cami maxi;пропуск
camo;принт камуфляж
camouflage;принт камуфляж
candy;узор со сладостями или детский яркий стиль
canvas;ткань канвас очень износостойкая и прочная
cap-sleeve;короткий рукав который прикрывает только плечо и верхнюю часть руки
capri;стиль капри
cardio;стиль для занятия кардио
cargo;пропуск
cat;изображение кошки
chambray;ткань шабре
chambray drawstring;пропуск
checked;клетчатый узор
checkered;клетчатый узор
cheetah;гепардовый узор
chenille;ткань шенил
chevron;принт шеврон
chevron print;пропуск
chic;слово шик или стиль шик
chiffon;ткань шифон
chiffon floral;пропуск
chiffon lace;пропуск
chiffon layered;пропуск
chiffon maxi;пропуск
chiffon paneled;пропуск
chiffon pleated;пропуск
chiffon shift;пропуск
chiffon shirt;пропуск
chiffon surplice;пропуск
chiffon-paneled;шифоновые вставки ткани
chino;прямой или слегка зауженный силуэт с узкими ногами и широкими бедрами
chunky;ребристую ткань
chunky knit;пропуск
cinched;шнур или стягивающий пояс вокруг талии
circle;рисунок круга
cities;текст с названиями городов
city;текст с названием одного города
civil;текст с названием бренда сивил
clashist;бренд клашист
classic;классическую форму
classic cotton;пропуск
classic crew;пропуск
classic crew neck;пропуск
classic denim;пропуск
classic fit;пропуск
classic knit;пропуск
classic pocket;пропуск
classic skinny;пропуск
classic striped;пропуск
classic v-neck;пропуск
classic woven;пропуск
clean;пропуск
clean wash;пропуск
cloud;принт с облаками
cloud wash;сильно высветленную ткань с узором напоминающим облака
coast;слово коаст
coated;дополнительный слой одежды обычно защищающий
coffee;слово кофе
collar;воротник
collar lace;пропуск
collared;воротник который идет вокруг шеи или открытую часть груди
collarless;отсутствующий воротник
collarless faux;пропуск
colorblock;цветные вставки
colorblock pocket;цветной карман
colorblocked;цветные вставки
combo;комбинированный стиль
combo maxi;пропуск
contrast;контрастные цвета
contrast trim;пропуск
contrast-trimmed;декоративное обрамление контрастного цвета
convertible;форму которую можно носить разными способами
corduroy;вельветовую ткань
cotton;хлопковую ткань
cotton drawstring;пропуск
cotton knit;пропуск
cotton-blend;хлопковую смешанную ткань
cover-up;возможность надевать поверх другой одежды
cowl;высокий воротник или воротник хомут
cowl neck;пропуск
cozy;домашний уютный стиль
crepe;ткань креп
crepe shift;пропуск
crepe woven;пропуск
crew;круглый вырез
crew neck;пропуск
crinkled;специальный эффект складок или морщин на поверхности
crisscross;перекрестные ленты
crisscross-back;перекрестные ленты на спине
crochet;вязанную ткань
crochet crop;пропуск
crochet embroidered;пропуск
crochet floral;пропуск
crochet fringe;пропуск
crochet knit;пропуск
crochet lace;пропуск
crochet maxi;пропуск
crochet mesh;пропуск
crochet overlay;пропуск
crochet-paneled;вязанные вставки
crochet-trimmed;вязанные декоративные элементы
crocheted;вязанную ткань
crocheted lace;пропуск
crop;укороченную длину
cropped;укороченную длину
cropped knit;пропуск
cross-back;перекрестные ленты на спине
crossback;перекрестные ленты на спине
cuffed;манжеты
cuffed denim;пропуск
cuffed-sleeve;манжеты на рукавах
curved;изогнутый подол
curved hem;пропуск
cut;вырезы
cute;милый стиль
cutoff;обрезанный с нитками край
cutout;вырезы
cutout lace;пропуск
cutout maxi;пропуск
cutout sheath;пропуск
cutout-back;вырезы на спине
dainty;изысканный стиль
daisy;принт с ромашками
daisy print;пропуск
damask;ткань дамаск
daring;дерзкий вызывающий стиль
dark;темный цвет
darling;милый стиль
deep v-neck;глубокий ви вырез
deep-v;глубокий ви вырез
defyant;бренд дифаянт
denim;джинсовую ткань
denim drawstring;пропуск
denim pencil;пропуск
denim shift;пропуск
denim shirt;пропуск
denim skater;пропуск
denim utility;пропуск
desert;песочный оттенок
destroyed;дырки на ткани
devil;слово дьявол
diamond;алмазный принт
diamond print;пропуск
dip-dye;нижнюю часть другого цвета
dip-dyed;нижнюю часть другого цвета
distressed;иммитацию износа c потертостями и дырками
distressed low-rise;пропуск
distressed mid-rise;пропуск
distressed skinny;пропуск
ditsy;мелкий узор
ditsy floral;пропуск
ditsy floral print;пропуск
doll;милый стиль
dolman;широкие рукава сужающийся к запястью
dolman sleeve;пропуск
dolman-sleeve;широкие рукава сужающийся к запястью
dolphin;невысокую посадку изгиб подола ввиде хвоста дельфина подчеркивает ягодицы
dolphin hem;пропуск
doodle;принт с каракулями
dot;узор из точек
dots;узор из точек
dotted;узор из точек
double-breasted;двубортную форму
drape-front;пропуск
draped;драппировку складки
draped open-front;пропуск
draped shawl;пропуск
draped surplice;пропуск
drapey;драппировку складки
drawstring;шнурочные завязки
dream;слово мечта или создает нежный мечтательный образ
dreamcatcher;изображение ловца снов
dreamer;слово мечтатель или создает нежный мечтательный образ
drop waist;низкую талию
drop-sleeve;спадающие рукава
drop-waist;низкую талию
dropped;спадающий подол или край
dye;окрашенную полосками ткань
dynamite;пропуск
eagle;изображение орла
edge;четкий край
eiffel;изображение эйфелевой башни
elasticized;эластичную ткань
elegant;элегатный стиль
elephant;изображение слона
elephant print;пропуск
embellished;пропуск
embroidered;вышивку
embroidered fit;пропуск
embroidered floral;пропуск
embroidered gauze;пропуск
embroidered gauze peasant;пропуск
embroidered lace;пропуск
embroidered maxi;пропуск
embroidered mesh;пропуск
embroidered peasant;пропуск
embroidered shift;пропуск
embroidered woven;пропуск
embroidery;вышивку
enchanted;пропуск
ethereal;легкую воздушную форму
everyday;ежедневное применение
eyelash;маленькие нитки по краям
eyelash knit;пропуск
eyelash lace;пропуск
eyelet;небольшие отверстия
eyelet fit;пропуск
faded;тускнеющие цвета
fair;традиционную технику вязания шетланда
fair isle;пропуск
fan;необычный неуклюжий принт
fancy;слово фенси
faux;иммитацию ткани
faux fur;пропуск
faux leather;пропуск
faux leather mini;пропуск
faux leather moto;пропуск
faux leather paneled;пропуск
faux leather pencil;пропуск
faux leather skater;пропуск
faux leather varsity;пропуск
faux leather-paneled;пропуск
faux leather-trimmed;пропуск
faux shearling;пропуск
faux suede;пропуск
faux-wrap;иммитация оборачивания тканью
feather;изображения перьев
festive;праздничный стиль
field;схожесть с полем
fisherman;стиль рыбака - вязанная ткань и широкий воротник
fit;пропуск
fit flare;пропуск
fit skinny;пропуск
fitted;пропуск
fitted v-neck;пропуск
flare;раширение к краю
flared;раширение к краю
flat;ровную форму без изогнутых частей
flat front;пропуск
flat-front;ровную форму без изогнутых частей
flawless;слово безупречный
flirty;кокетливый стиль
floral;цветочный принт
floral flutter;пропуск
floral knit;пропуск
floral lace;пропуск
floral lace mini;пропуск
floral lace sheath;пропуск
floral lace skater;пропуск
floral maxi;пропуск
floral mesh;пропуск
floral midi;пропуск
floral mini;пропуск
floral paisley;пропуск
floral pattern;пропуск
floral peasant;пропуск
floral pleated;пропуск
floral print;пропуск
floral print skater;пропуск
floral print strapless;пропуск
floral print surplice;пропуск
floral shift;пропуск
floral skater;пропуск
floral surplice;пропуск
floral textured;пропуск
floral-embroidered;цветочный узор и вышивка
flounce;широкую полосу ткани пришитую к одной из частей
flounce maxi;пропуск
flounced;широкую полосу ткани пришитую к одной из частей
flower;цветочный принт
flowy;текучую форму
floyd;название группы Пинк Флоид
fluted;рефленую текстуру
flutter;широкие свободные рукава
flutter sleeve;пропуск
flutter-sleeve;широкие свободные рукава
foil;фольговые вставки или узор
fold-over;отворот
foldover;отворот
folk;народный стиль
folk print;пропуск
foulard;шелковую ткань с напечатанным рисунком
fox;изображение лисы
france;французскую атрибутику
frayed;потертости
free spirit;свободный воздушный стиль
french;ткань французской махры
french terry;пропуск
fresh;слово свежий
frida;изображение фриды кало
fringe;ткань бахрама
fringed;ткань бахрама
fur;ткань шерсть
fuzzy;нечеткий край
fuzzy knit;пропуск
galaxy;галактический принт
garden;пропуск
garden party;пропуск
gathered waistline;собранную талию
gaucho;традиционный южно американский стиль гаучо с широким свободным кроем
gauze;тонкую ткань
gauze maxi;пропуск
gauze peasant;пропуск
gauzy;тонкую ткань
gem;украшения из драгоценных камней бисера страз и т. д.
genuine;натуральную ткань
geo;геометрический принт
geo pattern;пропуск
geo print;пропуск
geo stripe;пропуск
georgette;ткань жоржет
gingham;клетчатый узор
giraffe;изображение жирафа
giraffe print;пропуск
girl;женский фасон или слово девушка
girls;женский фасон или слово девушки
glass;пропуск
glitter;блестящую ткань
graphic;текст или изображения
graphic muscle;пропуск
graphic racerback;пропуск
grid;сетчатый узор
grid print;пропуск
grunge;принты относящиеся к музыке гранж - рока
guns;слово оружие
halen;название группы Ван Хелен
harem;вид шаровар
heart;слово или изображение сердца
heart print;пропуск
heat;слово жара как название баскетбольной команды
heathered;ткань хизер
heathered knit;пропуск
heathered stripe;пропуск
heathered v-neck;пропуск
hem;подол одежды
hepburn;пропуск
heroes;слово герой
herringbone;ёлочный узор
high-low;неравную длину подола выше спереди и длиннее сзади.
high-neck;высокий воротник или горловина
high-rise;высокую талию
high-rise skinny;пропуск
high-slit;высокий разрез
high-slit maxi;пропуск
high-waist;подчеркнутую высокую талию
high-waisted;подчеркнутую высокую талию
hood;капюшон
hooded;капюшон
hooded maxi;пропуск
hooded utility;пропуск
houndstooth;геометрический узор ломаная клетка
ikat;индонизийский узор
ikat print;пропуск
illusion;глубокий вырез скрытый тканью
illusion neckline;пропуск
inset;вставку из другой ткани
internet;слово интернет
island;тропический стиль
isle;пропуск
jacquard;жаккардовую ткань то есть со сложным узором
joie;слово счастье на французском
kahlo;пропуск
kaleidoscope;узор калейдоскоп
kaleidoscope print;пропуск
kangaroo;карман как у кенгуру
kangaroo pocket;пропуск
keyhole;вырез замочная скважена
kid;изображение мультяшного ребенка
killin;слово убивать
kiss;слово поцелуй
kitty;изображение кошек
knee-length;длину до колоней
knit;трикотажную ткань
knit lace;пропуск
knit longline;пропуск
knit maxi;пропуск
knit mini;пропуск
knit open;пропуск
knit pencil;пропуск
knit pocket;пропуск
knit raglan;пропуск
knit shawl;пропуск
knit skater;пропуск
knit stripe;пропуск
knit striped;пропуск
knit trapeze;пропуск
knit v-neck;пропуск
knotted;завязанный узел из ткани
kurt;имя Курта Кобейна
la;слово ла на английском
lace;кружево
lace layered;пропуск
lace maxi;пропуск
lace mesh;пропуск
lace midi;пропуск
lace mini;пропуск
lace overlay;пропуск
lace panel;пропуск
lace paneled;пропуск
lace pencil;пропуск
lace peplum;пропуск
lace pleated;пропуск
lace print;пропуск
lace sheath;пропуск
lace sheer;пропуск
lace shift;пропуск
lace skater;пропуск
lace sleeve;пропуск
lace trim;пропуск
lace-paneled;часть из кружева
lace-trim;полоску кружевной ткани
lace-trimmed;полоску кружевной ткани
lace-up;пропуск
lacy;кружево
ladder-back;лесенку на спине
lady;женственный стиль
lakers;название баскетбольной команды лейкерс
lapel;отворот
laser;узор вырезанный лазером
lattice;сетчатую ткань
layered;многослойную ткань
leaf;принт с листьями
leaf print;пропуск
leather;кожанную ткань
leather mini;пропуск
leather moto;пропуск
leather paneled;пропуск
leather pencil;пропуск
leather peplum;пропуск
leather quilted;пропуск
leather skater;пропуск
leather trimmed;пропуск
leather varsity;пропуск
leather-paneled;пропуск
leather-trimmed;пропуск
leave;слово leave оставлять покидать на английском
led;слова led zeppelin - название музкальной группой
leopard;леопардовый принт
leopard print;пропуск
life;слово жизнь на английском
light;слово свет
