english;russian
Anorak;Куртка (возможно с защитой от ветра)
Blazer;Повседневный пиджак
Blouse;Женская рубашка
Bomber;"Куртка (возможно бомбер, летная куртка)"
Button-Down;Одежда с пуговицами по всей длине
Cardigan;Кардиган
Flannel;Рубашка из фланели
Halter;Одежда с завязками
Henley;Одежда с круглым вырезом и пуговицами по всей длине
Hoodie;Толстовка с капюшоном
Jacket;Куртка
Jersey;Спортивная рубашка
Parka;Парка
Peacoat;Двубортное польто
Poncho;Пончо
Sweater;Свитер
Tank;Майка без руковов
Tee;Футболка
Top;Топ
Turtleneck;Водолазка
Capris;Капри
Chinos;Брюки-чинос
Culottes;Брюки-кюлоты
Cutoffs;Шорты
Gauchos;Гаучо-накидка
Jeans;Джинсы
Jeggings;Брюки-джинсы-легинсы
Jodhpurs;Брюки для верховой езды
Joggers;Брюки с манжетами
Leggings;Леггинсы
Sarong;Платок
Shorts;Шорты
Skirt;Юбка
Sweatpants;Спортивные брюки
Sweatshorts;Толстовки
Trunks;Нижнее белье транкс
Caftan;Кафтан
Cape;Накидка
Coat;Пальто
Coverup;Накидка
Dress;Платье
Jumpsuit;Комбинезон
Kaftan;Кафтан
Kimono;Кимоно
Nightdress;Ночная рубашка
Onesie;Кобинезон с капюшоном
Robe;Халат
Romper;Комбинезон
Shirtdress;Рубашка
Sundress;Сарафан
